home,away,close_time,pre_close_mid
CHA,MIL,2026-01-03 03:50:11.081626+00:00,0.325
SAC,PHX,2026-01-03 04:50:34.629330+00:00,0.845
OKC,GSW,2026-01-03 05:50:01.980600+00:00,0.145
MEM,LAL,2026-01-03 06:24:28.395960+00:00,0.63
MIN,MIA,2026-01-04 00:50:03.781150+00:00,0.435
PHI,NYK,2026-01-04 03:04:38.205113+00:00,0.61
ATL,TOR,2026-01-04 03:10:25.916908+00:00,0.365
CHA,CHI,2026-01-04 03:34:39.937902+00:00,0.47
POR,SAS,2026-01-04 03:54:30.761223+00:00,0.265
HOU,DAL,2026-01-04 04:01:08.176006+00:00,0.265
BOS,LAC,2026-01-04 06:00:46.906965+00:00,0.485
UTA,GSW,2026-01-04 06:04:29.552846+00:00,0.825
DET,CLE,2026-01-04 21:50:45.651002+00:00,0.635
IND,ORL,2026-01-04 22:40:42.879978+00:00,0.305
DEN,BKN,2026-01-04 23:14:44.424968+00:00,0.425
NOP,MIA,2026-01-05 01:30:40.076151+00:00,0.745
